StudentID,What is your academic status (choose one),What is your major?,Secondary Major (If Applicable),Select your class section,1Q1,1Q2,1Q3,2Q1,2Q2,3Q1,3Q2,3Q3
StudentID_0000,Sophomore,Civil Engineering,n/a,CGT 27000-LC (Wednesday/Friday),4,4,2,4,4,4,4,4
StudentID_0049,Freshman,Data Science,n/a,CGT 27000-LC (Wednesday/Friday),5,5,5,4,4,5,5,5
StudentID_1287,Sophomore,UX Design ,n/a,CGT 27000-LC (Wednesday/Friday),3,4,4,3,3,3,3,3
StudentID_1418,Sophomore,Cybersecurity,n/a,CGT 27000-LC (Wednesday/Friday),3,4,3,3,2,3,3,3
StudentID_2049,Freshman,Data Science,n/a,CGT 27000-LC (Wednesday/Friday),4,4,3,,,,,
StudentID_2495,Sophomore,Industrial Engineering,n/a,CGT 27000-LC (Wednesday/Friday),4,4,4,4,4,4,4,4
StudentID_2501,Sophomore,Computer Networking Information Technology,n/a,CGT 27000-LC (Wednesday/Friday),4,3,2,3,3,3,2,3
StudentID_3146,Sophomore,Statistics,n/a,CGT 27000-LC (Wednesday/Friday),4,4,3,4,4,4,4,4
StudentID_3151,Sophomore,Data Science,n/a,CGT 27000-LC (Wednesday/Friday),4,3,3,3,3,3,3,3
StudentID_3867,Sophomore,Computer Science,n/a,CGT 27000-LC (Wednesday/Friday),3,3,4,4,4,,,
StudentID_4031,Sophomore,Computer Science,n/a,CGT 27000-LC (Wednesday/Friday),4,4,3,4,4,4,4,4
StudentID_4160,Sophomore,Applied Statistics,n/a,CGT 27000-LC (Wednesday/Friday),4,4,3,4,4,4,3,3
StudentID_4794,Sophomore,Accounting ,n/a,CGT 27000-LC (Wednesday/Friday),4,4,2,4,4,4,4,4
StudentID_5462,Senior,Web Programming and Design,n/a,CGT 27000-LC (Wednesday/Friday),4,4,4,4,4,4,4,4
StudentID_6720,Junior,Web Programming and Design,n/a,CGT 27000-LC (Wednesday/Friday),4,4,4,4,4,5,5,5
StudentID_7147,Sophomore,Cybersecurity,n/a,CGT 27000-LC (Wednesday/Friday),4,4,3,4,4,4,4,4
StudentID_7164,Sophomore,Physics,n/a,CGT 27000-LC (Wednesday/Friday),3,3,4,2,2,4,4,5
StudentID_7367,Sophomore,Data Science,n/a,CGT 27000-LC (Wednesday/Friday),4,4,4,4,3,4,4,4
