Date, Close/Last, Volume, Open, High, Low
02/14/2020, $289.79, 26048090, $287.26, $294.97, $286
02/13/2020, $270.78, 13200380, $270.21, $273.48, $269.11
02/12/2020, $272.54, 9366118, $270.01, $272.8, $268.4474
02/11/2020, $267.89, 15963920, $267.32, $272.5, $264.83
02/10/2020, $262.97, 13240190, $252.5, $263, $252.3
02/07/2020, $251.59, 4743803, $252.64, $253.53, $250.572
02/06/2020, $254.245, 5457051, $252.14, $254.25, $248.88
02/05/2020, $250.76, 5205502, $251.99, $252.4, $247.41
02/04/2020, $247.13, 6788589, $246.03, $247.9, $244.02
02/03/2020, $240.33, 6398205, $235.7, $241.1111, $235.45
01/31/2020, $236.43, 9260493, $243.97, $244.45, $234.75
01/30/2020, $245.81, 7262590, $241.61, $246.35, $239.4
01/29/2020, $245.54, 6486279, $247.39, $248.84, $243.94
01/28/2020, $247.97, 7774401, $242.85, $249.27, $240.7143
01/27/2020, $240.2, 11763350, $238.24, $242.25, $232.23
01/24/2020, $250.48, 9337839, $257.5, $259.5, $248.3
01/23/2020, $252.86, 6112861, $251.72, $253.2, $248.15
01/22/2020, $250.05, 5980967, $249.76, $253.59, $249
01/21/2020, $247.94, 5447925, $247.805, $249.29, $246.5703
01/17/2020, $249.28, 6344764, $249.7, $250, $247.37
01/16/2020, $248.93, 7104791, $247.72, $249.17, $246.775
01/15/2020, $245.57, 6577636, $247.79, $248.6891, $244.53
01/14/2020, $247.28, 8989483, $250.26, $251.28, $246.75
01/13/2020, $251.98, 8008451, $247.66, $252.9884, $246.75
01/10/2020, $244.32, 7911560, $247.33, $248.55, $243.75
01/09/2020, $243.02, 6386053, $243.85, $245.9297, $240.855
01/08/2020, $240.38, 6931017, $239.76, $242.04, $238.149
01/07/2020, $239.93, 7980144, $238.2, $241.77, $236.39
01/06/2020, $237.06, 6572812, $232.32, $237.27, $231.27
01/03/2020, $236.07, 5144308, $235.1, $237.83, $234.1
01/02/2020, $239.91, 5941969, $238.75, $239.91, $236.72
12/31/2019, $235.3, 5780283, $230.9, $235.675, $230.13
12/30/2019, $232.32, 6456178, $235.99, $236.2, $231.06
12/27/2019, $236.87, 6370251, $239.8, $240.34, $235.81
12/26/2019, $239.19, 4580451, $238.76, $240.32, $238
12/24/2019, $238.62, 3471597, $238.2, $239.31, $236.82
12/23/2019, $238.82, 8884815, $240.52, $241.81, $238.39
12/20/2019, $239.37, 15084610, $238.13, $240.39, $237.355
12/19/2019, $235.46, 11327670, $230.9, $236, $230.7
12/18/2019, $229.51, 8606969, $229.69, $231.94, $229.35
12/17/2019, $228.29, 8081598, $225.9, $229.2, $225.52
12/16/2019, $225.15, 8032684, $225.9, $228.0642, $224.77
12/13/2019, $223.99, 11374180, $224.19, $228.98, $221.82
12/12/2019, $224.07, 10152080, $216.18, $224.8, $215.82
12/11/2019, $217.34, 5850247, $214.4, $217.56, $214.3
12/10/2019, $213.98, 6417228, $213.38, $216.06, $211.26
12/09/2019, $212.17, 5378320, $211.25, $214.37, $210.9
12/06/2019, $212.17, 5810457, $211.52, $213.49, $211.12
12/05/2019, $208.74, 4628444, $210.3, $210.93, $207.5083
12/04/2019, $209.42, 6840459, $211.02, $211.92, $208.27
12/03/2019, $207.66, 11853650, $201.87, $207.82, $200.37
12/02/2019, $209.25, 9346742, $216.46, $217, $208.64
11/29/2019, $216.74, 3538924, $217, $218.14, $215.78
11/27/2019, $218.24, 5410718, $218.67, $220.05, $217.18
11/26/2019, $217, 9642023, $220.5, $220.6897, $216.74
11/25/2019, $221.21, 12683690, $216.04, $221.41, $215.52
11/22/2019, $210.89, 5602470, $211.09, $212.9633, $209.94
11/21/2019, $210.18, 7209730, $211, $213.24, $209.31
11/20/2019, $211.18, 11825440, $207.07, $214.55, $206.5643
11/19/2019, $207.99, 10384510, $211.032, $211.98, $205.65
11/18/2019, $212.28, 14382960, $203.89, $213.35, $203.77
11/15/2019, $204.19, 26355410, $209.7, $211.7799, $200.6377
11/14/2019, $209.79, 13175170, $208.93, $209.88, $206.516
11/13/2019, $208.57, 7559124, $208.35, $209.46, $205.9
11/12/2019, $209.61, 7095971, $209.72, $211.86, $208.31
